row,word
315, 大幅
316, 成本
317, 进入
318, 创新
319, 着力
320, 格局
321, 重要
322, 制度
323, 指示
324, 抓教
325, 中共中央
326, 教育
327, 政治
328, 实现
329, 学习
330, 开
331, 引领
332, 特色
333, 方向
334, 着眼
335, 构建
336, 牢牢
337, 加强
338,12
339, 事业
340, 苗华
341, 及
342, 改进
343, 时许
344, 依靠群众
345, 体系
346, 思想
347, 来到
348, 分管
349, 身教
350, 下午
351, 习
352, 李
353, 月
354, 军队
355, 总书记
356, 变革
357, 示范
358, 记者
359, 推进
360, 社会主义
361, 单位
362, 理念
363, 　
364, 中央军委
365, 整体
366, 京西宾馆
367, 形成
368, 推动
369, 强化
370, 把握
371, 坚强
372, 围绕
373, 党
374, 机制
375, 掌声
376, 合影留念
377, 作成
378, 军委
379, 日
380, 保证
381, 出席会议
382, 热烈
383, 运行
384, 方法
385, 深入
386, 一个
387, 工作部门
388, 新华社
389, 起点
390, 新
391, 一系列
392, 接见
393, 指导
394, 关于
395, 工作
396, 全军
397, 力量
398, 上
399, 对
400, 要
401, 各大
402, 贯彻
403, 许其亮
404, 侠
405, 张
406, 同
407, 会议
408, 这次
409, 人民军队
410, 代表
411, 主席
412, 局面
413, 他
414, 努力
415, 合力
416, 提升
417, 习近平
418, 我军
419, 中国
420, 发动群众
421, 摄
422, 张升民
423, 这个
424, 模式
425, 讲话
426, 干部
427, 育人
428, 内容
429, 要求
430, 参加
431, 始终
432, 部门
433, 强军
434, 各
435, 北京
436, 亲切
437, 领导
438, 强调
439, 铸魂
440, 提供
441, 大家
442, 政治委员
443, 机关
444, 全体
445, 李刚
446, 有
447, 扭住
448, 标杆
449, 大
450, 用
451, 4
452, 全体会议
453, 建设
454, 从
455, 根本
456, 有关
